Filename,Material,Color Palette,Shape / Structure,Theme or Motif,Artisan Style,Size,Occasion,Closure Type
brown_leather_white_bead_earrings.jpg,"Leather (Brown), Beads (White)","Brown, White",Oval,Abstract / Geometric,Rustic / Earthy,Medium,Everyday Wear,Hook
copper_round_earrings.jpg,Copper,Copper,Round / Circle,Abstract / Geometric,Minimalist,Medium,Everyday Wear,Hook
dragonfly_black_silver_earrings.jpg,"Silver, Black Wire","Black, Silver",Abstract / Geometric,Dragonfly,Nature-Inspired,Medium,Everyday Wear,Hook
seashell_pink_white_earrings.jpg,Shell / Seashell,"Pink, White",Abstract / Geometric,Seashell,Nature-Inspired,Medium,Everyday Wear,Hook
silver_chain_orange_bead_earrings.jpg,"Silver, Beads (Orange)",Silver,Chain,Abstract / Geometric,Minimalist,Medium,Everyday Wear,Hook
silver_copper_chain_earrings.jpg,"Silver, Copper","Silver, Copper",Chain,Abstract / Geometric,Minimalist,Medium,Everyday Wear,Hook
silver_copper_circle_chain_earrings.jpg,"Silver, Copper","Silver, Copper","Round / Circle, Chain",Abstract / Geometric,Minimalist,Medium,Everyday Wear,Hook
silver_copper_teardrop_earrings.jpg,"Silver, Copper","Silver, Copper",Teardrop,Abstract / Geometric,Minimalist,Medium,Everyday Wear,Hook
silver_purple_shell_jellyfish_earrings.jpg,"Silver, Shell / Seashell","Silver, Purple",Round / Circle,"Jellyfish, Seashell",Nature-Inspired,Medium,Everyday Wear,Hook
silver_spiral_blue_stone_earrings.jpg,"Silver, Stone (Blue Stone)","Silver, Blue",Spiral,Abstract / Geometric,Wire-Wrapped,Medium,Everyday Wear,Hook
silver_wire_wooden_bead_earrings.jpg,"Silver, Wood","Silver, Brown",Zigzag,Abstract / Geometric,Rustic / Earthy,Medium,Everyday Wear,Hook
turtle_black_blue_white_earrings.jpg,Black Wire,"Black, Blue, White",Abstract / Geometric,Turtle,Nature-Inspired,Medium,Everyday Wear,Hook
white_bead_brown_leather_earrings.jpg,"Beads (White), Leather (Brown)","White, Brown",Round / Circle,Abstract / Geometric,Rustic / Earthy,Medium,Everyday Wear,Hook
white_black_purple_square_earrings.jpg,"Beads (White, Purple), Black Wire","White, Black, Purple",Square,Abstract / Geometric,Bold Statement,Medium,Everyday Wear,Hook
wooden_bead_horizontal_earrings.jpg,Wood,Brown,Horizontal Layout,Abstract / Geometric,Rustic / Earthy,Medium,Everyday Wear,Hook
wooden_bead_metal_earrings.jpg,"Wood, Metal","Brown, Black",Vertical Layout,Abstract / Geometric,Rustic / Earthy,Medium,Everyday Wear,Hook
blue_black_dice_earrings.jpg,"Glass (Dice), Metal (Hook)","Blue, Black",Cube,Dice / Gaming,Unique / Artistic,Medium,Special Occasion / Fashion Statement,Hook
blue_green_crystal_cube_earrings.jpg,"Crystal, Metal (Wire, Hook)","Blue, Green, Black",Cube,Numbers, Dice-like,Unique, Vibrant,Medium,Fashion Statement, Special Occasion,Hook
black_blue_white_earrings.jpg,"Unknown","Blue, White, Black",Circle,None,Unknown,Large,Everyday Wear,Hook
bead_black_blue_white_earrings.jpg,"Beads, Metal (Wire, Hook)","Blue, White, Black",Circle,Numbers, Dice-like,Unknown,Small,Everyday Wear,Hook
black_blue_crystal_white_earrings.jpg,"Crystal, Metal (Wire, Hook)","Blue, White, Black",Unknown,Numbers, Dice-like,Unknown,Medium,Everyday Wear,Hook
black_blue_white_earrings_1.jpg,"Unknown","Blue, White, Black",Circle,None,Unknown,Medium,Everyday Wear,Hook
black_blue_crystal_gold_white_earrings.jpg,"Crystal, Metal (Wire, Hook)","Gold, Blue, White, Black",Circle,Numbers, Dice-like,Unknown,Medium,Everyday Wear,Hook
blue_gold_white_earrings.jpg,"Unknown","Gold, Blue, White",Circle,None,Unknown,Medium,Everyday Wear,Hook
blue_crystal_gold_white_earrings.jpg,"Crystal, Metal (Wire, Hook)","Gold, Blue, White",Circle,None,Unique, Artistic,Small,Everyday Wear,Hook
black_blue_gold_white_earrings.jpg,"Metal (Wire, Hook)","Gold, Blue, White, Black",Circle,None,Unique, Artistic,Small,Everyday Wear,Hook
black_blue_crystal_green_white_earrings.jpg,"Crystal, Metal (Wire, Hook)","White, Blue, Green, Black",Circle,None,Unique, Artistic,Medium,Everyday Wear,Hook
gold_number_purple_white_earrings.jpg,"Unknown","White, Gold, Purple",Circle,Numbers, Dice-like,Unknown,Medium,Everyday Wear,Hook
black_blue_earrings.jpg,"Metal (Wire, Hook)","Blue, Black",Circle,None,Unknown,Small,Everyday Wear,Hook
black_dice_gold_green_number_earrings.jpg,"Unknown","Gold, Green, Black",Unknown,Numbers, Dice-like,Unknown,Medium,Everyday Wear,Hook
black_blue_earrings_1.jpg,"Metal (Wire, Hook)","Blue, Black",Circle,None,Unique, Artistic,Small,Everyday Wear,Hook
black_blue_earrings_2.jpg,"Metal (Wire, Hook)","Blue, Black",Circle,None,Unknown,Small,Everyday Wear,Hook
black_blue_earrings_3.jpg,"Metal (Wire, Hook)","Blue, Black",Circle,None,Unknown,Small,Everyday Wear,Hook
black_dice_gold_white_earrings.jpg,"Metal (Wire, Hook)","Gold, White, Black",Circle,Numbers, Dice-like,Unknown,Medium,Everyday Wear,Hook
bead_black_purple_white_earrings.jpg,"Beads, Metal (Wire, Hook)","Purple, White, Black",Cube,None,Unique, Artistic,Small,Everyday Wear,Hook
brown_orange_red_white_earrings.jpg,"Beads, Metal (Wire, Hook)","Red, Brown, White, Orange",Circle,None,Unknown,Small,Everyday Wear,Hook
black_silver_earrings.jpg,"Unknown","Black, Silver",Circle,None,Unknown,Medium,Everyday Wear,Hook
black_blue_silver_white_earrings.jpg,"Unknown","Blue, White, Black, Silver",Circle,None,Unknown,Medium,Everyday Wear,Hook
black_blue_green_pink_earrings.jpg,"Beads, Metal (Wire, Hook)","Pink, Blue, Green, Black",Circle,None,Unknown,Medium,Everyday Wear,Hook
blue_silver_earrings.jpg,"Beads, Metal (Wire, Hook)","Blue, Silver",Circle,None,Unknown,Medium,Everyday Wear,Hook
bead_blue_silver_earrings.jpg,"Beads, Metal (Wire, Hook)","Blue, Silver",Circle,None,Unique, Artistic,Medium,Everyday Wear,Hook
black_blue_dice_orange_earrings.jpg,"Metal (Wire, Hook)","Blue, Black, Orange",Circle,Numbers, Dice-like,Unknown,Large,Everyday Wear,Hook
bead_black_purple_earrings.jpg,"Beads, Metal (Wire, Hook)","Purple, Black",Cube,None,Unique, Artistic,Medium,Everyday Wear,Hook
black_blue_silver_earrings.jpg,"Unknown","Blue, Black, Silver",Circle,None,Unknown,Medium,Everyday Wear,Hook
orange_silver_earrings.jpg,"Beads, Metal (Wire, Hook)","Silver, Orange",Circle,None,Unknown,Small,Everyday Wear,Hook
black_silver_earrings_1.jpg,"Metal (Wire, Hook)","Black, Silver",Circle,None,Unknown,Medium,Everyday Wear,Hook
black_gold_silver_earrings.jpg,"Beads, Metal (Wire, Hook)","Gold, Black, Silver",Circle,None,Unknown,Medium,Everyday Wear,Hook
black_white_earrings.jpg,"Beads, Metal (Wire, Hook)","White, Black",Circle,None,Unknown,Small,Everyday Wear,Hook
black_silver_earrings_2.jpg,"Beads, Metal (Wire, Hook)","Black, Silver",Unknown,None,Unknown,Medium,Everyday Wear,Hook
black_blue_orange_red_white_earrings.jpg,"Unknown","Orange, Blue, Red, White, Black",Circle,None,Unknown,Medium,Everyday Wear,Hook
black_white_earrings_1.jpg,"Beads, Metal (Wire, Hook)","White, Black",Unknown,None,Unique, Artistic,Medium,Everyday Wear,Hook
silver_earrings.jpg,"Unknown","Silver",Circle,None,Unknown,Small,Everyday Wear,Hook
white_yellow_earrings.jpg,"Beads, Metal (Wire, Hook)","White, Yellow",Circle,None,Unknown,Small,Everyday Wear,Hook
bead_black_brown_white_earrings.jpg,"Beads, Metal (Wire, Hook)","Brown, White, Black",Circle,None,Unique, Artistic,Medium,Everyday Wear,Hook
gold_red_silver_white_earrings.jpg,"Unknown","White, Red, Gold, Silver",Circle,None,Unique, Artistic,Small,Everyday Wear,Hook
unique_earrings_earrings.jpg,"Metal (Wire, Hook)","Unknown",Circle,None,Unknown,Small,Everyday Wear,Hook
black_white_earrings_2.jpg,"Metal (Wire, Hook)","White, Black",Circle,None,Unknown,Medium,Everyday Wear,Hook
blue_silver_earrings_1.jpg,"Metal (Wire, Hook)","Blue, Silver",Unknown,None,Unique, Artistic,Small,Everyday Wear,Hook
bead_purple_silver_white_earrings.jpg,"Beads, Metal (Wire, Hook)","White, Purple, Silver",Circle,None,Unknown,Medium,Everyday Wear,Hook
circle_gold_earrings.jpg,"Metal (Wire, Hook)","Gold",Circle,None,Unknown,Small,Everyday Wear,Hook
gold_silver_earrings.jpg,"Metal (Wire, Hook)","Gold, Silver",Circle,None,Unknown,Large,Everyday Wear,Hook
silver_earrings_1.jpg,"Unknown","Silver",Circle,None,Unknown,Large,Everyday Wear,Hook
circle_white_earrings.jpg,"Metal (Wire, Hook)","White",Circle,None,Unknown,Large,Everyday Wear,Stud
unique_earrings_earrings_1.jpg,"Metal (Wire, Hook)","Unknown",Circle,None,Unknown,Small,Everyday Wear,Hook
blue_silver_earrings_2.jpg,"Unknown","Blue, Silver",Circle,None,Unknown,Medium,Everyday Wear,Hook
brown_silver_white_earrings.jpg,"Unknown","Brown, White, Silver",Circle,None,Unknown,Large,Everyday Wear,Hook
unique_earrings_earrings_2.jpg,"Metal (Wire, Hook)","Unknown",Circle,None,Unknown,Large,Everyday Wear,Hook
bead_silver_earrings.jpg,"Beads, Metal (Wire, Hook)","Silver",Circle,None,Unknown,Medium,Everyday Wear,Hook
gold_earrings.jpg,"Metal (Wire, Hook)","Gold",Circle,None,Unknown,Large,Everyday Wear,Hook
blue_silver_earrings_3.jpg,"Unknown","Blue, Silver",Circle,None,Unique, Artistic,Small,Everyday Wear,Hook
white_earrings.jpg,"Metal (Wire, Hook)","White",Circle,None,Unknown,Medium,Everyday Wear,Hook
bead_purple_silver_white_earrings_1.jpg,"Beads, Metal (Wire, Hook)","Purple, White, Silver",Circle,None,Unknown,Large,Everyday Wear,Hook
blue_gold_purple_earrings.jpg,"Unknown","Gold, Blue, Purple",Circle,None,Unknown,Medium,Everyday Wear,Hook
silver_white_earrings.jpg,"Metal (Wire, Hook)","White, Silver",Circle,None,Unknown,Medium,Everyday Wear,Hook
purple_silver_earrings.jpg,"Unknown","Purple, Silver",Circle,None,Unknown,Large,Everyday Wear,Hook
silver_white_earrings_1.jpg,"Beads, Metal (Wire, Hook)","White, Silver",Circle,None,Unknown,Small,Everyday Wear,Hook
circle_earrings.jpg,"Metal (Wire, Hook)","Unknown",Circle,None,Unique, Artistic,Large,Everyday Wear,Hook
circle_silver_earrings.jpg,"Metal (Wire, Hook)","Silver",Circle,None,Unknown,Large,Everyday Wear,Hook
blue_dice_gold_number_purple_white_earrings.jpg,"Unknown","White, Gold, Blue, Purple",Unknown,Numbers, Dice-like,Unique, Artistic,Medium,Everyday Wear,Hook
gold_pink_purple_silver_earrings.jpg,"Unknown","Pink, Gold, Purple, Silver",Circle,None,Unknown,Large,Everyday Wear,Hook
silver_white_earrings_2.jpg,"Metal (Wire, Hook)","White, Silver",Circle,None,Unknown,Large,Everyday Wear,Hook
silver_white_earrings_3.jpg,"Unknown","White, Silver",Circle,None,Unknown,Medium,Everyday Wear,Hook
blue_dice_gold_purple_white_earrings.jpg,"Unknown","Gold, Blue, White, Purple",Circle,Numbers, Dice-like,Unknown,Small,Everyday Wear,Hook
blue_brown_silver_earrings.jpg,"Beads, Metal (Wire, Hook)","Blue, Brown, Silver",Unknown,None,Unknown,Medium,Everyday Wear,Hook
black_brown_circle_silver_earrings.jpg,"Metal (Wire, Hook)","Brown, Black, Silver",Circle,None,Unknown,Medium,Everyday Wear,Hook
black_silver_earrings_3.jpg,"Metal (Wire, Hook)","Black, Silver",Circle,None,Unknown,Medium,Everyday Wear,Hook
blue_dice_gold_number_white_earrings.jpg,"Unknown","Gold, Blue, White",Circle,Numbers, Dice-like,Unique, Artistic,Medium,Everyday Wear,Hook
silver_earrings_2.jpg,"Unknown","Silver",Circle,None,Unknown,Large,Everyday Wear,Hook
blue_dice_gold_number_earrings.jpg,"Unknown","Gold, Blue",Circle,Numbers, Dice-like,Unique, Artistic,Medium,Everyday Wear,Hook
blue_purple_silver_white_earrings.jpg,"Beads, Metal (Wire, Hook)","Blue, White, Purple, Silver",Circle,None,Unknown,Small,Everyday Wear,Hook
black_brown_red_white_earrings.jpg,"Beads, Metal (Wire, Hook)","Red, Brown, White, Black",Circle,None,Unknown,Medium,Everyday Wear,Hook
bead_black_brown_orange_white_earrings.jpg,"Beads, Metal (Wire, Hook)","Brown, White, Black, Orange",Circle,None,Unique, Artistic,Medium,Everyday Wear,Hook
bead_silver_white_earrings.jpg,"Beads, Metal (Wire, Hook)","White, Silver",Circle,None,Unknown,Small,Everyday Wear,Hook
red_silver_white_earrings.jpg,"Beads, Metal (Wire, Hook)","Red, White, Silver",Circle,None,Unknown,Small,Everyday Wear,Hook
black_orange_white_earrings.jpg,"Beads, Metal (Wire, Hook)","White, Black, Orange",Circle,None,Unknown,Medium,Everyday Wear,Hook
bead_brown_silver_white_earrings.jpg,"Beads, Metal (Wire, Hook)","Brown, White, Silver",Circle,None,Unknown,Medium,Everyday Wear,Hook
gold_red_silver_white_earrings_1.jpg,"Unknown","Red, Gold, White, Silver",Circle,None,Unknown,Medium,Everyday Wear,Hook
black_gold_silver_earrings_1.jpg,"Beads, Metal (Wire, Hook)","Gold, Black, Silver",Unknown,None,Unknown,Medium,Everyday Wear,Hook
silver_white_earrings_4.jpg,"Unknown","White, Silver",Circle,None,Unknown,Medium,Everyday Wear,Hook
red_silver_yellow_earrings.jpg,"Beads, Metal (Wire, Hook)","Red, Silver, Yellow",Circle,None,Unknown,Small,Everyday Wear,Hook
pink_white_earrings.jpg,"Metal (Wire, Hook)","Pink, White",Circle,None,Unique, Artistic,Large,Everyday Wear,Hook
gold_pink_white_earrings.jpg,"Unknown","Pink, Gold, White",Unknown,None,Unique, Artistic,Large,Everyday Wear,Hook
black_earrings.jpg,"Beads, Metal (Wire, Hook)","Black",Circle,None,Unknown,Large,Everyday Wear,Hook
red_earrings.jpg,"Beads, Metal (Wire, Hook)","Red",Circle,None,Unique, Artistic,Large,Everyday Wear,Hook
red_silver_white_earrings_1.jpg,"Unknown","Red, White, Silver",Circle,None,Unknown,Medium,Everyday Wear,Hook
bead_black_brown_white_earrings_1.jpg,"Beads, Metal (Wire, Hook)","Brown, White, Black",Circle,None,Unique, Artistic,Medium,Everyday Wear,Hook
blue_brown_silver_white_earrings.jpg,"Beads, Metal (Wire, Hook)","Blue, Brown, White, Silver",Circle,None,Unknown,Medium,Everyday Wear,Hook
pink_silver_white_earrings.jpg,"Unknown","Pink, White, Silver",Circle,None,Unique, Artistic,Large,Everyday Wear,Hook
brown_silver_white_earrings_1.jpg,"Beads, Metal (Wire, Hook)","Brown, White, Silver",Circle,None,Unique, Artistic,Medium,Everyday Wear,Hook
orange_silver_white_earrings.jpg,"Beads, Metal (Wire, Hook)","White, Silver, Orange",Circle,None,Unknown,Large,Everyday Wear,Hook
bead_brown_orange_red_white_earrings.jpg,"Beads, Metal (Wire, Hook)","Red, Brown, White, Orange",Circle,None,Unique, Artistic,Medium,Everyday Wear,Hook
bead_blue_orange_red_earrings.jpg,"Beads, Metal (Wire, Hook)","Red, Blue, Orange",Unknown,None,Unique, Artistic,Medium,Everyday Wear,Hook
all-earrings-4square-board.jpg,"Mixed Materials","Multi-colored",Grid Layout,Showcase Collection,Gallery Display,Large,Display / Collection,None
earring-single-square-wood-leath-dice.jpg,"Wood, Leather, Dice","Brown, Multi-colored",Square,Gaming / Dice,Rustic / Unique,Medium,Statement Piece,Hook
earrings-2square-shells-leather.jpg,"Shell, Leather","Natural Tones",Square,Seashell / Ocean,Nature-Inspired,Medium,Casual / Beach,Hook
earrings-single-square-cards.jpg,"Playing Cards, Metal","Multi-colored",Square,Gaming / Cards,Artistic / Unique,Medium,Fun / Playful,Hook
